adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Kuril Islands,"RUS, JPN",147.877949,45.076156,,,,,,,1
Kuwait,KWT,47.492598,29.53972,13.07.2020,"[https://www.gov.uk/foreign-travel-advice/kuwait]
[[https://kw.usembassy.gov/covid-19-information/]
[https://www.osac.gov/Content/Report/29825692-2888-41b4-8113-190e31ad7290]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Nationals, residents advised against travel abroad (Reuters, 10.07.2020). Commercial flights at Kuwait International Airport will resume from 1 August. (Reuters, 29.06.2020) 

*****International restrictions: 
The Kuwait Government is no longer allowing non-Kuwaitis to enter Kuwait. The Kuwait Government has announced the partial reopening of the International Airport from 1 August, pending details of whether restrictions will apply on who can enter Kuwait. Commercial flights are now operating from Kuwait on a limited number of routes. 


*****Internal restrictions:
A nationwide curfew applies from 8pm - 5am daily. In addition, you are prohibited from travelling in or out of the following areas: Mahboula, Jleeb Al Shuyoukh, and Farwaniya. The Kuwait Government has announced that the prohibition on travelling in or out of Mahboula and Jleeb Al Shuyoukh will end from 9 July. Follow the official Kuwait News Agency for details [https://www.kuna.net.kw/Default.aspx?language=en]. The Kuwait Government has ordered the wearing of face masks in public. Penalties for not wearing a mask in public are a fine of 5000 KD or a prison sentence of three months.",20200713,Kuwaiti citizens who enter Kuwait from any country will be put in home quarantine for 28 days upon arrival unless they display COVID-19 symptoms in which they will be put in institutional quarantine. ,COVID-19 negative certification not required / not known,2
Kyrgyzstan,KGZ,74.523246,41.462046,07.07.2020,"[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://kg.usembassy.gov/covid-19-information/]
[https://www.osac.gov/Content/Report/0b188dc8-9621-4fc3-8f2c-18dbba6df20c]","*****International restrictions: 
Limited commercial air service resumed on 15 June (Fly Dubai and Turkish).
All foreign nationals are barred entry into the country. The following categories of foreign travellers are exempt from the inbound travel ban: Immediate family members of citizens of Kyrgyzstan (subject to confirmation of kinship); Foreign diplomatic (UN) and consular staff and their family members (given an advance notice of arrival to the Ministry of Foreign Affairs of Kyrgyzstan). Travel by car between cities is prohibited, however UN vehicles are allowed to move between provinces. Members of train, locomotive and aircraft crews; freight drivers. Kyrgyz Temir Zholu employees working in Kazakhstan and Uzbekistan.
All visa services have been suspended. Entering the country or crossing at land borders with national IDs is temporarily suspended; this includes Kyrgyzstan residents. All residents are only allowed to enter Kyrgyzstan with valid passports. All land borders with China and Uzbekistan are closed. Borders with Kazakhstan remain open only for transportation of goods and movement of Kazakh and Kyrgyz citizens returning to the country of origin. Travellers (including Kyrgyz citizens) arriving from countries with more than 1,000 confirmed cases of COVID-19 will be subject to 14 day quarantine at a medical facility. All other travellers have to undergo mandatory 14-day home quarantine. International flights have been suspended until further notice.

*****Internal restrictions:
The Kyrgyz Government advise limiting movement to essential travel only.If you are going to a public place you should wear a mask. If you are going out you will need to carry ID and a written copy of the following information: full name; telephone number; reason for leaving the house; time of leaving; expected time of return; home address / address of residence; destination address. Additional restrictions will be placed on those entering and exiting large cities. Restrictions on moving between villages, towns and cities across the rest of Kyrgyzstan remain in place. Individuals under observation or treatment for coronavirus are prohibited from leaving their homes. In Bishkek public transport will only be available between 07:00 and 10:00 and 17:00-21:00 on weekdays. There will be no service during the weekends. Taxi services can continue to operate following strict hygiene practices.
Bishkek city is reintroducing a number of restrictions to prevent the spread of COVID-19.

Public transport will only be available between 07:00 and 10:00 and 17:00-21:00 on weekdays. There will be no service during the weekends. Taxi services can continue to operate following strict hygiene practices. Cafes and restaurants will only open 10:00 -20:00.. Supermarkets and shopping centers will only open 09:00 to 20:00 and markets from 05:00 to 16:00. The following activities are prohibited: Entertainment venues including nightclubs, bars, and karaoke clubs. Children’s entertainment centres, football fields, bicycle hire facilities and playgrounds. Access to parks and squares will be restricted. Similar restrictions have been introduced in Osh city and Chui province. In Osh services at mosques are also suspended. Other areas may also introduce restrictions. Many businesses and public spaces in the rest of Kyrgyzstan have now reopened. Businesses should be following additional hygiene and sanitary requirements. In some cases you may be refused entry if you are not wearing a mask, and may be subject to temperature checks and hand washing requirements on entry. You should comply with hygiene and social distancing requirements. Events and public gatherings are still banned. Cinemas, entertainment centres, nightclubs and food courts in shopping centres remain closed. Intercity public transport is still suspended. However daily flights between Osh and Bishkek have now resumed. Government advice remains to stay at home as far as possible.",20200707,"Travellers (including Kyrgyz citizens) arriving from countries with more than 1,000 confirmed cases of COVID-19 will be subject to 14 day quarantine at a medical facility. All other travellers have to undergo mandatory 14-day home quarantine.",COVID-19 negative certification required for entering the country,3
Lao People's Democratic Republic,LAO,101.990197,20.274828,10.07.2020,"[https://www.gov.uk/foreign-travel-advice/laos]
[https://la.usembassy.gov/covid-19-information/]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]","*****International restrictions:
Commercial flights to and from Laos remain very limited. The Government of the Lao PDR has suspended the visa on arrival service at all international entry points. No visas are being issued to people travelling from or transiting a country with ongoing COVID-19 outbreak. However, the authorities may consider granting entry permission for foreigners (experts, technicians and foreign nationals that are required for essential projects) who wish to travel to Laos.  Entry procedures for Laos visa-holders: All foreigners must present a Certificate of Entry (issued by the MFA); a completed Declaration form; and a ‘Fit to Fly’ Certificate issued no more than 72 hours prior to travel. All arrivals will be subject to a free COVID-19 test. Positive cases will be admitted to hospital for treatment. All negative cases have to undergo 14 days quarantine at designated locations (with all expenses covered by individuals or their organisations/companies). The application form for the health declaration is available on the official website for the Ministry of Foreign Affairs [http://www.mofa.gov.la/index.php].
There is compulsory free testing for COVID-19 on arrival in Laos. Those testing positive will be admitted to hospital for treatment. Enhanced health screening is in place and border crossings between Laos, Thailand, Cambodia, and Vietnam are closed. Anybody travelling to Laos with a fever, cough or difficulty breathing, and a travel history from coronavirus affected countries, will be isolated in hospital and tested. The hospitals being used are Mittaphab, Mahosot, Setthathirath and the National Military Hospital (103). All arrivals testing negative for COVID-19 will have to undergo 14 days quarantine at designated locations (with all expenses covered by individuals or their organisations/companies). There is no compulsory COVID testing on departure from Laos.
The Thai Government has announced that all Thailand-Laos border crossings are closed until further notice, including the Friendship Bridge between Vientiane and Nong Khai. Only commercial goods are permitted to cross at present. There may be exemptions for medical emergencies at the discretion of the Laos and Thai medical authorities.

Public health requirements for humanitarian flighs [https://humanitarianbooking.wfp.org/en/wfp-aviation/]

*****Internal restrictions:
There are no travel restrictions within Laos and taxis, public transport and domestic flights have resumed services. You will be required to wear a mask. Temperature checks are in operation in some locations. Most businesses including restaurants, shops, food markets, gyms/spas, sports facilities, night markets, cinemas, casinos and tourist attractions are able to reopen, provided that COVID preventative measures are in place. These include providing alcohol gel, face masks being worn, maintaining 1m physical distancing, and checking temperatures. Some venues where the 1m social distancing rule cannot be applied, such as karaoke and night clubs, remain closed. Social gatherings, weddings and traditional events are now permitted as long as COVID-19 prevention measures and social distancing of 1m are in place. Hotels and private rental accommodation is available throughout Laos, although a number of hotels/hostels are currently closed due to reduced tourist numbers.
",20200710,All entrants will be subject to 14-day self-quarantine requirement at their own expense.,"COVID-19 negative certification required for entering the country.  

All arrivals will be subject to a free COVID-19 test. Positive cases will be admitted to hospital for treatment. All negative cases have to undergo 14 days quarantine at designated locations",4
Latvia,LVA,26.424619,56.641966,15.07.2020,"[https://www.gov.uk/foreign-travel-advice/latvia]
[https://lv.usembassy.gov/covid-19-information/]
[https://reopen.europa.eu/en/map/LVA]","*****International restrictions:
**From the EU: Citizens of the European Union, the European Economic Area and Switzerland, as well as people who are permanently residing in those countries, when travelling from their home countries to Latvia are no longer obliged to undergo a 14-day quarantine, so long as their home countries have maintained an incidence lower than 15 individuals in 100,000 who have fallen ill with COVID-19. Weekly revised list of Coronavirus safe countries [https://spkc.gov.lv/en].
**Transit: Entry is allowed to foreigners transiting through the territory of Latvia on their return to their country of residence.
**Third coutry nationals: As regards EU external borders, Latvia applies the EU Recommendations entering into force on 1/7/20. However, additional national requirements can be applied. As from 1 July, EU Member States should start lifting the restrictions on non-essential travel into the EU for residents of the following third countries: Algeria, Australia, Canada, Georgia, Japan, Montenegro, Morocco, New Zealand, Rwanda, Serbia, South Korea, Thailand, Tunisia, Uruguay, China, subject to confirmation of reciprocity. Residents of Andorra, Monaco, San Marino and the Vatican/Holy See should be considered as EU residents for this purpose. Every two weeks this list of countries will be reviewed and the information updated here. More info: [https://data.consilium.europa.eu/doc/document/ST-9208-2020-INIT/en/pdf].

*****Internal restrictions:
Movement throughout the country is allowed. The State of Emergency was lifted on 10 June 2020 but many of its measures, including restrictions on public events, the maintenance of social distancing, and the mandatory covering of the nose and mouth by passengers on public transport, remain in place.",20200715,Travellers entering Latvia from coronavirus safe countries are not subject to 14-day self-isolation. Weekly revised list of Coronavirus safe countries [https://sam.lrv.lt/en/news/self-isolation-required-for-arrivals-from-58-worst-hit-countriess]. ,COVID-19 negative certification not required / not known,5
Lebanon,LBN,35.894185,33.921586,10.07.2020,"[https://www.gov.uk/foreign-travel-advice/lebanon
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]
[https://lb.usembassy.gov/covid-19-information/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Beirut's Rafic Hariri International Airport to reopen 1 July; air traffic will be kept at 10 percent capacity (Reuters, 12.06.2020). 

*****International Restrictions
Beirut’s Rafic Hariri international airport re-opened on 1 July with initially limited capacity of 2,000 passengers daily and limited flights.
People travelling to Beirut will be required to comply with testing and self-isolation measures to reduce the spread of coronavirus. Any passenger who shows symptoms of illness including covid-19, will not be allowed to board the aircraft.

Travellers arriving in Lebanon from countries where PCR testing is available, except for children under five years of age, are required to take a PCR test at a laboratory certified by local authorities within 96 hours prior to travel, and to show the result at check-in before proceeding to immigration. If the test result is positive, the passenger will be prohibited from boarding the aircraft.
Upon arrival at Rafik Hariri International Airport, passengers will be required to take another PCR test, and must adhere to home quarantine until receiving the result (between 24 hours to 48 hours). Certain airlines are covering the cost of this test whilst others may not. Travellers should check with their airline. There are some exceptions to these measures – travellers should check with the airline. 
Passengers travelling from countries without PCR testing capability will be required to have a test on arrival excluding children under five years of age. Passengers travelling with some airlines may be required to pay $100 for the test, to be paid through the airline, whilst certain airlines may cover the cost. Travellers should check with their airline. Passengers will have to take a second test after 72 hours at their own expense at an accredited laboratory in accordance with the instructions of the Lebanese Ministry of Public Health and must adhere to quarantine until the result of the new PCR test is issued via text message along with an electronic copy.
For passengers travelling from countries where PCR testing is not available for all, but who have conducted the PCR test there within 96 hours prior to their trip to Lebanon and the result was negative, it is possible to be exempted from another PCR test 72 hours after their arrival in Lebanon, according to the decision of the Ministry of Public Health Medical Team at the airport.
If you test positive, you will have to self-isolate and follow Ministry of Health guidelines.
Passengers who left Lebanon for a period not exceeding one week will be exempt from PCR testing on arrival.
All passengers travelling to Lebanon must fill this health declaration form online before departure, as required by the Lebanese Ministry of Public Health [https://survey123.arcgis.com/share/988ba32e1b634902ba3b14c3e4f1614d]. In case this is not possible, the form can be filled on-board, in order to enter Lebanese territory.
Passengers travelling to Lebanon, except military personnel, diplomats, members of international organizations, UNIFIL and members of the Lebanese National Social Security Fund or staff cooperative, need to possess an insurance policy that is valid for the duration of their stay in Lebanon, covering all costs of treatment for Coronavirus on Lebanese territory. Alternatively, the policy can be obtained through this website [https://www.covid19travelcare.com/web/#/], or at the insurance counters upon their arrival at Rafik Hariri International Airport-Beirut.

*****Internal Restrictions:
The Lebanese government has extended the general mobilization until 2 August. The former 12 midnight-to-5:00 a.m curfew is no longer in effect. 
The Lebanese authorities have put in place a number of measures to limit the spread of coronavirus (COVID-19). The detailed restrictions are changing on a regular basis. The latest Lebanese Government decisions and guidance can be found here [http://drm.pcm.gov.lb/Programs/Be-Informed/]. Current restrictions include: Public and larger gatherings are banned. Some facilities remain closed, including schools, playgrounds, theatres and cinemas. Fabric masks covering the mouth and nose must be worn when outside the home and in vehicles (unless travelling alone, or exercising); Individuals must maintain a safe distance from one another and avoid crowded areas. Those over the age of 65 years old are advised to stay home and not go out unless absolutely necessary. Private cars should have no more than three people in them (including the driver), unless they are all from the same household. Other vehicles should limit passenger numbers to a third of total capacity. Some public markets, banks, pharmacies, hotels, restaurants, beaches, swimming pools, nurseries, gyms, public parks and gardens, pubs and nightclubs, summer camps and other facilities are starting to re-open but you should check in advance.
Lebanese authorities may issue fines, impose road blocks, or imprison those violating these restrictions for up to three years. You should comply with all local restrictions introduced by the Lebanese authorities and obey the instructions of the security forces. These restrictions may be changed at short notice.",20200710,"As of July 1, 2020, no 14-day self-isolation will be required. ",COVID-19 negative certification subject to special conditions. ,6
Lesotho,LSO,28.247043,-29.58314,29.06.2020,"[https://www.gov.uk/foreign-travel-advice/lesotho/health#coronavirus]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://ls.usembassy.gov/lesotho-country-specific-information-on-coronavirus-worldwide-outbreak/]","*****International Restrictions:  
Lesotho’s borders are closed for all but essential trade. SAA Airlink flights between Maseru and Johannesburg Airport have been suspended. SAA Airlink flights between Maseru and Johannesburg Airport have been suspended. Moshoeshoe International Airport and the border crossing points at Maseru Bridge, Caledonspoort (Butha Buthe), Maputsoe Bridge, Qacha’s Nek Bridge and Vanrooyens Gate (Mafeteng) remain open, but with reduced operating hours, for conveyance of essential goods and services only. Entry and exit to Lesotho is allowed with approval from the Ministry of Home Affairs to provide or receive emergency medical services for a life threatening condition. 

*****Internal Restrictions:
The Government of Lesotho has partially lifted restrictions on movement. However all persons are still required to remain at home unless providing or acquiring goods or services, or attending funerals and religious services. Schools are re-opening for certain year groups. Anyone leaving their place of resident must wear a mask. Most businesses and offices are allowed to operate provided health regulations and social distancing are observed. Purchase of alcohol is only permitted from Monday to Friday. Restrictions on opening hours and quantity purchased are in place. Cafes and restaurants may only provide take away meals. Parks, nightclubs are not yet allowed to open. All gatherings are prohibited except for funerals and religious services of not more than 50 people. Travel by vehicle is permitted only when necessary to obtain goods and services, restrictions are in place to limit the number of passengers carried. Private vehicles are allowed to carry two people per row of seats. Face coverings should be worn. Public transport is only permitted to operate between 6am and 9pm.",20200629,All travelers will be tested and quarantined for 14 days.,COVID-19 negative certification subject to special conditions,7
Liancourt Rock,"KOR, JPN",131.864842,37.241642,,,,,,,8
Liberia,LBR,-9.311921,6.448469,15.07.2020,"[https://www.osac.gov/Content/Report/051c92cd-f8fd-4b6e-ad7f-18e3e886d763]
[https://www.gov.uk/foreign-travel-advice/liberia]
[https://lr.usembassy.gov/covid-19-information/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Liberia’s Roberts International Airport is set to open today, but the country remains in a state of emergency until July 22. (Foreign Brief, 28.06.2020)
President extends state of emergency by 30 days because of COVID-19 outbreak (Reuters, 22.06.2020)

*****International restrictions:
Currently all land borders (with Sierra Leone, Guinea and Côte d’Ivoire) are closed to travellers. Ports remain open. Roberts International Airport (RIA) has reopened for commercial flights, however flights to and from Liberia remain very limited. Brussels Airlines intend to operate ad hoc flights. Other airlines have not confirmed planned flights. 
All travellers arriving in Liberia will be screened for the coronavirus. On arrival at entry points, staff will check your temperature and you must wash your hands with soap and water. If you display symptoms of coronavirus, public health officials may take you to a quarantine facility. You must register for symptom monitoring and contact tracing by providing a mobile phone number for USSD messaging or mobile app. In Roberts International Airport, you must stand in marked spaces within the terminal to allow for social distancing. Passengers entering Liberia have two options for COVID-19 testing. Government of Liberia strongly encourages travellers to be tested before arrival in Liberia. You can have a COVID-19 PCR test at your point of departure within 72 hours before your arrival in Liberia. If you present a negative PCR test result on arrival in Liberia, you will be allowed entry with symptom monitoring via USSD or mobile app. If you do not do a pre-departure PCR test before your arrival in Liberia, you will be tested on arrival. You will have to do a Rapid Test, and a swab will be collected for PCR test processing. If your Rapid Test result is negative, you will be allowed entry with symptom monitoring via USSD or mobile app.
If your Rapid Test result is positive, you will be taken to a government quarantine facility pending your PCR test result. Sample processing could take several days. If your subsequent PCR result is positive you must remain in government quarantine. It is likely you will have to remain in quarantine until you have two consecutive negative PCR results. Quarantine may last 14 days or longer. You should be prepared for travel restrictions, and changes to screening and precautionary observation requirements with no advance notice.
There is a high risk of being put into 14 days of quarantine, either on arrival or during your trip to Liberia. 
You are at risk of being put into quarantine or instructed to self-isolate for 14 days even after you have arrived in Liberia, if you develop symptoms (fever, cough or respiratory illness), or it is suspected you have been in contact with some who has tested positive for coronavirus. If you test positive for COVID-19, you may be transferred to a government treatment centre. You are strongly advised to familiarise yourself with these risks before travelling. All foreign citizens in quarantine or self-isolation will have their passports removed and held by the National Public Health Institute of Liberia (NPHIL) for 14 days. You will be given a copy of your passport to retain whilst in quarantine. If you are travelling on behalf of government, an international organisation/NGO or a company, you should check with your organisation whether they have pre-arranged a private POC, i.e. quarantine facility, authorised by NHPIL. The British Embassy cannot provide POC facilities. If you show symptoms, you may be transferred to quarantine or a government treatment centre Visitors arriving on a laissez-passer (except UN or EU), may also be taken to quarantine for secondary screening. Any suspicion of illegal attempts to circumvent the process will result in 14 days of quarantine.

Public health requirements for humanitarian flighs [https://humanitarianbooking.wfp.org/en/wfp-aviation/]

*****Internal restrictions:
A nationwide State of Emergency, which includes a range of measures to prevent the spread of coronavirus, has been extended effective from 22 June to 21 July, pending Legislature approval. Hygiene measures will continue. Security forces will enforce measures. You should adhere to all rules and seek information from local authorities. Details could change and further restrictions be imposed. Movement restrictions between counties (except Montserrado and Margibi counties, quarantined as a single unit) are likely to continue, pending Legislature approval, (except Montserrado and Margibi counties, quarantined as a single unit). A permit may be required for essential travel across county borders. You should monitor government pages for the latest information on movement restrictions (see Help and support). All residents in affected counties are required to stay indoors from 6pm-6am daily.
If you go out in public, you must wear a mask. Businesses must close by 6pm each day. If you are an essential worker (e.g. government, utilities, food production, healthcare, etc.) you may be exempt from some restrictions. Preventative measures introduced on 22 March continue to apply, including mandatory hand washing with soap and clean water at all premises, limits on gatherings and numbers of persons allowed in public premises at any one time. Some offices and businesses may also require temperature checks. Liberian authorities have advised community members to report those showing coronavirus symptoms (coughing, fever, and difficulty breathing) by calling 4455. Some hotels are open. Some of the larger restaurants, especially in the main hotels, have re-opened. Shops are open. Bars and casinos remain closed. Places of worship are permitted to hold services. You are required to wear face masks in all commercial premises and government buildings.
",20200715,"All arriving passengers who have not been tested at point of departure will be required to take a rapid test and a PCR swab at airport. In the event of a positive rapid test result, the passenger will be placed in the holding unit at the airport pending the final PCR test result.
You are at risk of being put into quarantine or instructed to self-isolate for 14 days even after you have arrived in Liberia, if you develop symptoms (fever, cough or respiratory illness), or it is suspected you have been in contact with some who has tested positive for coronavirus. If you test positive for COVID-19, you may be transferred to a government treatment centre. You are strongly advised to familiarise yourself with these risks before travelling.
All foreign citizens in quarantine or self-isolation will have their passports removed and held by the National Public Health Institute of Liberia (NPHIL) for 14 days. You will be given a copy of your passport to retain whilst in quarantine.
If you are travelling on behalf of government, an international organisation/NGO or a company, you should check with your organisation whether they have pre-arranged a private POC, i.e. quarantine facility, authorised by NHPIL. If you show symptoms, you may be transferred to quarantine or a government treatment centre. Visitors arriving on a laissez-passer (except UN or EU), may also be taken to quarantine for secondary screening. Any suspicion of illegal attempts to circumvent the process will result in 14 days of quarantine.","COVID-19 negative certification required for entering the country. 
All travellers arriving in Liberia will be screened for the coronavirus. On arrival at entry points, staff will check your temperature and you must wash your hands with soap and water. If you display symptoms of coronavirus, public health officials may take you to a quarantine facility. You must register for symptom monitoring and contact tracing by providing a mobile phone number for USSD messaging or mobile app. In Roberts International Airport, you must stand in marked spaces within the terminal to allow for social distancing.
Passengers entering Liberia have two options for COVID-19 testing. Government of Liberia strongly encourages travellers to be tested before arrival in Liberia. You can have a COVID-19 PCR test at your point of departure within 72 hours before your arrival in Liberia. If you present a negative PCR test result on arrival in Liberia, you will be allowed entry with symptom monitoring via USSD or mobile app.
If you do not do a pre-departure PCR test before your arrival in Liberia, you will be tested on arrival. You will have to do a Rapid Test, and a swab will be collected for PCR test processing. If your Rapid Test result is negative, you will be allowed entry with symptom monitoring via USSD or mobile app.
If your Rapid Test result is positive, you will be taken to a government quarantine facility pending your PCR test result. Sample processing could take several days. If your subsequent PCR result is positive you must remain in government quarantine. It is likely you will have to remain in quarantine until you have two consecutive negative PCR results. Quarantine may last 14 days or longer.
You should be prepared for travel restrictions, and changes to screening and precautionary observation requirements with no advance notice.",9
Libya,LBY,18.029942,27.038767,11.06.2020,"UNHAS: sources
[https://www.kayak.com/travel-restrictions/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Libya has closed its borders.

*****International restrictions:
The GNA-imposed state of emergency officially expired on 6 Aprilt. Civil aviation in all Libyan airports remains suspended. UNHAS flights are suspended.
Exemptions will be made for individuals who critically need medical attention abroad. Since 5 May, Misrata Airport is open to repatriation flights to and from Istanbul International Airport. 

*****Internal restrictions: 
Curfew in GNA controlled areas is extended until at least 17 May from 18.00 to 06.00. The Municipal Council of Misrata reduced its 24-hour lockdown. Daily curfew is in place from 14.00 to 07.00. In eastern Libya, the parallel government led by Khalifa Belasim Haftar reduced its total lockdown to a daily curfew from 18.00 to 6.00. In-city movement is prohibited. ",20200611,"The Ministry of Health has multiple designated quarantine sites where individuals can be held in quarantine for 14 days.

Libyan authorities are carrying out enhanced temperature screenings of passengers arriving at air, land, and sea ports of entry.

Travelers should be prepared for new quarantine restrictions to be put into effect with little or no advance notice.",COVID-19 negative certification not required / not known,10
