region_type,country,percent_yoy_change,date
countries,Global,-1,2020-02-18
countries,Global,3,2020-02-19
countries,Global,-1,2020-02-20
countries,Global,-2,2020-02-21
countries,Global,1,2020-02-22
countries,Global,4,2020-02-23
countries,Global,1,2020-02-24
countries,Global,1,2020-02-25
countries,Global,-2,2020-02-26
countries,Global,-3,2020-02-27
countries,Global,-1,2020-02-28
countries,Global,1,2020-02-29
countries,Global,0,2020-03-01
countries,Global,-8,2020-03-02
countries,Global,-9,2020-03-03
countries,Global,-6,2020-03-04
countries,Global,-7,2020-03-05
countries,Global,-7,2020-03-06
countries,Global,-4,2020-03-07
countries,Global,-3,2020-03-08
countries,Global,-14,2020-03-09
countries,Global,-18,2020-03-10
countries,Global,-19,2020-03-11
countries,Global,-28,2020-03-12
countries,Global,-36,2020-03-13
countries,Global,-40,2020-03-14
countries,Global,-47,2020-03-15
countries,Global,-56,2020-03-16
countries,Global,-83,2020-03-17
countries,Global,-89,2020-03-18
countries,Global,-96,2020-03-19
countries,Global,-97,2020-03-20
countries,Global,-98,2020-03-21
countries,Global,-99,2020-03-22
countries,Global,-99,2020-03-23
countries,Global,-99,2020-03-24
countries,Global,-99,2020-03-25
countries,Global,-99,2020-03-26
countries,Global,-99,2020-03-27
countries,Global,-99,2020-03-28
countries,Global,-99,2020-03-29
countries,Global,-99,2020-03-30
countries,Global,-99,2020-03-31
countries,Global,-99,2020-04-01
countries,Global,-99,2020-04-02
countries,Global,-99,2020-04-03
countries,Global,-99,2020-04-04
countries,Global,-99,2020-04-05
countries,Global,-99,2020-04-06
countries,Global,-99,2020-04-07
countries,Global,-99,2020-04-08
countries,Global,-100,2020-04-09
countries,Global,-99,2020-04-10
countries,Global,-99,2020-04-11
countries,Global,-99,2020-04-12
countries,Global,-99,2020-04-13
countries,Global,-99,2020-04-14
countries,Global,-99,2020-04-15
countries,Global,-99,2020-04-16
countries,Global,-99,2020-04-17
countries,Global,-99,2020-04-18
countries,Global,-99,2020-04-19
countries,Global,-99,2020-04-20
countries,Global,-99,2020-04-21
countries,Global,-99,2020-04-22
countries,Global,-99,2020-04-23
countries,Global,-99,2020-04-24
countries,Global,-99,2020-04-25
countries,Global,-99,2020-04-26
countries,Global,-99,2020-04-27
countries,Global,-99,2020-04-28
countries,Global,-99,2020-04-29
countries,Global,-99,2020-04-30
countries,Global,-99,2020-05-01
countries,Global,-99,2020-05-02
countries,Global,-99,2020-05-03
countries,Global,-98,2020-05-04
countries,Global,-98,2020-05-05
countries,Global,-98,2020-05-06
countries,Global,-98,2020-05-07
countries,Global,-97,2020-05-08
countries,Global,-97,2020-05-09
countries,Global,-97,2020-05-10
countries,Global,-96,2020-05-11
countries,Global,-96,2020-05-12
countries,Global,-95,2020-05-13
countries,Global,-95,2020-05-14
countries,Global,-93,2020-05-15
countries,Global,-93,2020-05-16
countries,Global,-93,2020-05-17
countries,Global,-93,2020-05-18
countries,Global,-92,2020-05-19
countries,Global,-91,2020-05-20
countries,Global,-89,2020-05-21
countries,Global,-87,2020-05-22
countries,Global,-87,2020-05-23
countries,Global,-88,2020-05-24
countries,Global,-88,2020-05-25
countries,Global,-86,2020-05-26
countries,Global,-85,2020-05-27
countries,Global,-85,2020-05-28
countries,Global,-82,2020-05-29
countries,Global,-81,2020-05-30
countries,Global,-82,2020-05-31
countries,Global,-81,2020-06-01
countries,Global,-83,2020-06-02
countries,Global,-81,2020-06-03
countries,Global,-80,2020-06-04
countries,Global,-76,2020-06-05
countries,Global,-74,2020-06-06
countries,Global,-74,2020-06-07
countries,Global,-76,2020-06-08
countries,Global,-76,2020-06-09
countries,Global,-73,2020-06-10
countries,Global,-70,2020-06-11
countries,Global,-66,2020-06-12
countries,Global,-66,2020-06-13
countries,Global,-78,2020-06-14
countries,Global,-69,2020-06-15
countries,Global,-68,2020-06-16
countries,Global,-67,2020-06-17
countries,Global,-66,2020-06-18
countries,Global,-61,2020-06-19
countries,Global,-60,2020-06-20
countries,Global,-45,2020-06-21
countries,Global,-67,2020-06-22
countries,Global,-66,2020-06-23
countries,Global,-64,2020-06-24
countries,Global,-63,2020-06-25
countries,Global,-58,2020-06-26
countries,Global,-57,2020-06-27
countries,Global,-61,2020-06-28
countries,Global,-66,2020-06-29
countries,Global,-62,2020-06-30
countries,Global,-62,2020-07-01
countries,Global,-55,2020-07-02
countries,Global,-58,2020-07-03
countries,Global,-72,2020-07-04
countries,Global,-57,2020-07-05
countries,Global,-61,2020-07-06
countries,Global,-62,2020-07-07
countries,Global,-61,2020-07-08
countries,Global,-60,2020-07-09
countries,Global,-58,2020-07-10
countries,Global,-54,2020-07-11
countries,Global,-55,2020-07-12
countries,Global,-62,2020-07-13
countries,Global,-62,2020-07-14
countries,Australia,-3,2020-02-18
countries,Australia,-6,2020-02-19
countries,Australia,-3,2020-02-20
countries,Australia,-1,2020-02-21
countries,Australia,0,2020-02-22
countries,Australia,0,2020-02-23
countries,Australia,0,2020-02-24
countries,Australia,-2,2020-02-25
countries,Australia,-2,2020-02-26
countries,Australia,-7,2020-02-27
countries,Australia,0,2020-02-28
countries,Australia,-1,2020-02-29
countries,Australia,4,2020-03-01
countries,Australia,-12,2020-03-02
countries,Australia,-6,2020-03-03
countries,Australia,-12,2020-03-04
countries,Australia,-8,2020-03-05
countries,Australia,-6,2020-03-06
countries,Australia,-3,2020-03-07
countries,Australia,-4,2020-03-08
countries,Australia,-10,2020-03-09
countries,Australia,-4,2020-03-10
countries,Australia,-10,2020-03-11
countries,Australia,-12,2020-03-12
countries,Australia,-8,2020-03-13
countries,Australia,-11,2020-03-14
countries,Australia,-12,2020-03-15
countries,Australia,-30,2020-03-16
countries,Australia,-43,2020-03-17
countries,Australia,-50,2020-03-18
countries,Australia,-53,2020-03-19
countries,Australia,-51,2020-03-20
countries,Australia,-53,2020-03-21
countries,Australia,-65,2020-03-22
countries,Australia,-99,2020-03-23
