region_type,state,country,percent_yoy_change,date
states,Alabama,United States,-14,2020-02-18
states,Alabama,United States,7,2020-02-19
states,Alabama,United States,1,2020-02-20
states,Alabama,United States,-2,2020-02-21
states,Alabama,United States,8,2020-02-22
states,Alabama,United States,2,2020-02-23
states,Alabama,United States,1,2020-02-24
states,Alabama,United States,0,2020-02-25
states,Alabama,United States,-8,2020-02-26
states,Alabama,United States,-3,2020-02-27
states,Alabama,United States,-3,2020-02-28
states,Alabama,United States,-11,2020-02-29
states,Alabama,United States,2,2020-03-01
states,Alabama,United States,-32,2020-03-02
states,Alabama,United States,-29,2020-03-03
states,Alabama,United States,-23,2020-03-04
states,Alabama,United States,-15,2020-03-05
states,Alabama,United States,-3,2020-03-06
states,Alabama,United States,11,2020-03-07
states,Alabama,United States,-10,2020-03-08
states,Alabama,United States,-11,2020-03-09
states,Alabama,United States,-26,2020-03-10
states,Alabama,United States,-8,2020-03-11
states,Alabama,United States,-2,2020-03-12
states,Alabama,United States,-24,2020-03-13
states,Alabama,United States,-28,2020-03-14
states,Alabama,United States,-38,2020-03-15
states,Alabama,United States,-57,2020-03-16
states,Alabama,United States,-74,2020-03-17
states,Alabama,United States,-78,2020-03-18
states,Alabama,United States,-96,2020-03-19
states,Alabama,United States,-100,2020-03-20
states,Alabama,United States,-100,2020-03-21
states,Alabama,United States,-100,2020-03-22
states,Alabama,United States,-100,2020-03-23
states,Alabama,United States,-100,2020-03-24
states,Alabama,United States,-100,2020-03-25
states,Alabama,United States,-100,2020-03-26
states,Alabama,United States,-100,2020-03-27
states,Alabama,United States,-100,2020-03-28
states,Alabama,United States,-100,2020-03-29
states,Alabama,United States,-100,2020-03-30
states,Alabama,United States,-100,2020-03-31
states,Alabama,United States,-100,2020-04-01
states,Alabama,United States,-100,2020-04-02
states,Alabama,United States,-100,2020-04-03
states,Alabama,United States,-100,2020-04-04
states,Alabama,United States,-100,2020-04-05
states,Alabama,United States,-100,2020-04-06
states,Alabama,United States,-100,2020-04-07
states,Alabama,United States,-100,2020-04-08
states,Alabama,United States,-100,2020-04-09
states,Alabama,United States,-100,2020-04-10
states,Alabama,United States,-100,2020-04-11
states,Alabama,United States,-100,2020-04-12
states,Alabama,United States,-100,2020-04-13
states,Alabama,United States,-100,2020-04-14
states,Alabama,United States,-100,2020-04-15
states,Alabama,United States,-100,2020-04-16
states,Alabama,United States,-100,2020-04-17
states,Alabama,United States,-100,2020-04-18
states,Alabama,United States,-100,2020-04-19
states,Alabama,United States,-100,2020-04-20
states,Alabama,United States,-100,2020-04-21
states,Alabama,United States,-100,2020-04-22
states,Alabama,United States,-100,2020-04-23
states,Alabama,United States,-100,2020-04-24
states,Alabama,United States,-100,2020-04-25
states,Alabama,United States,-100,2020-04-26
states,Alabama,United States,-100,2020-04-27
states,Alabama,United States,-100,2020-04-28
states,Alabama,United States,-100,2020-04-29
states,Alabama,United States,-100,2020-04-30
states,Alabama,United States,-100,2020-05-01
states,Alabama,United States,-100,2020-05-02
states,Alabama,United States,-100,2020-05-03
states,Alabama,United States,-100,2020-05-04
states,Alabama,United States,-100,2020-05-05
states,Alabama,United States,-100,2020-05-06
states,Alabama,United States,-100,2020-05-07
states,Alabama,United States,-99,2020-05-08
states,Alabama,United States,-99,2020-05-09
states,Alabama,United States,-99,2020-05-10
states,Alabama,United States,-86,2020-05-11
states,Alabama,United States,-87,2020-05-12
states,Alabama,United States,-77,2020-05-13
states,Alabama,United States,-77,2020-05-14
states,Alabama,United States,-73,2020-05-15
states,Alabama,United States,-69,2020-05-16
states,Alabama,United States,-71,2020-05-17
states,Alabama,United States,-75,2020-05-18
states,Alabama,United States,-75,2020-05-19
states,Alabama,United States,-69,2020-05-20
states,Alabama,United States,-66,2020-05-21
states,Alabama,United States,-65,2020-05-22
states,Alabama,United States,-59,2020-05-23
states,Alabama,United States,-64,2020-05-24
states,Alabama,United States,-51,2020-05-25
states,Alabama,United States,-56,2020-05-26
states,Alabama,United States,-58,2020-05-27
states,Alabama,United States,-55,2020-05-28
states,Alabama,United States,-55,2020-05-29
states,Alabama,United States,-51,2020-05-30
states,Alabama,United States,-50,2020-05-31
states,Alabama,United States,-61,2020-06-01
states,Alabama,United States,-54,2020-06-02
states,Alabama,United States,-59,2020-06-03
states,Alabama,United States,-53,2020-06-04
states,Alabama,United States,-50,2020-06-05
states,Alabama,United States,-48,2020-06-06
states,Alabama,United States,-64,2020-06-07
states,Alabama,United States,-63,2020-06-08
states,Alabama,United States,-54,2020-06-09
states,Alabama,United States,-45,2020-06-10
states,Alabama,United States,-37,2020-06-11
states,Alabama,United States,-36,2020-06-12
states,Alabama,United States,-38,2020-06-13
states,Alabama,United States,-63,2020-06-14
states,Alabama,United States,-44,2020-06-15
states,Alabama,United States,-48,2020-06-16
states,Alabama,United States,-43,2020-06-17
states,Alabama,United States,-42,2020-06-18
states,Alabama,United States,-38,2020-06-19
states,Alabama,United States,-36,2020-06-20
states,Alabama,United States,-21,2020-06-21
states,Alabama,United States,-48,2020-06-22
states,Alabama,United States,-51,2020-06-23
states,Alabama,United States,-50,2020-06-24
states,Alabama,United States,-45,2020-06-25
states,Alabama,United States,-41,2020-06-26
states,Alabama,United States,-39,2020-06-27
states,Alabama,United States,-48,2020-06-28
states,Alabama,United States,-44,2020-06-29
states,Alabama,United States,-45,2020-06-30
states,Alabama,United States,-43,2020-07-01
states,Alabama,United States,-7,2020-07-02
states,Alabama,United States,-47,2020-07-03
states,Alabama,United States,-69,2020-07-04
states,Alabama,United States,-53,2020-07-05
states,Alabama,United States,-57,2020-07-06
states,Alabama,United States,-53,2020-07-07
states,Alabama,United States,-51,2020-07-08
states,Alabama,United States,-53,2020-07-09
states,Alabama,United States,-48,2020-07-10
states,Alabama,United States,-38,2020-07-11
states,Alabama,United States,-45,2020-07-12
states,Alabama,United States,-56,2020-07-13
states,Alabama,United States,-56,2020-07-14
states,Alberta,Canada,2,2020-02-18
states,Alberta,Canada,10,2020-02-19
states,Alberta,Canada,2,2020-02-20
states,Alberta,Canada,1,2020-02-21
states,Alberta,Canada,5,2020-02-22
states,Alberta,Canada,0,2020-02-23
states,Alberta,Canada,-1,2020-02-24
states,Alberta,Canada,3,2020-02-25
states,Alberta,Canada,-1,2020-02-26
states,Alberta,Canada,-4,2020-02-27
states,Alberta,Canada,3,2020-02-28
states,Alberta,Canada,2,2020-02-29
states,Alberta,Canada,-4,2020-03-01
states,Alberta,Canada,-10,2020-03-02
states,Alberta,Canada,-4,2020-03-03
